S.No,Web Item Name,Product Group,Item Group,Description,Main Image,Thumbnail
4,National Polyester Putty (Light Weight)-3.5kg,Painting,"Stucco, Putty & Filler","KEY FEATURES:
• As a repair and dent filler for automobiles, and filling of wooden surfaces.
• Since it has good rheological properties, filled surface can be leveled uniformly.
• For smoothening the surface dry and wet sanding is recommended.",,
5,National Polyester Putty (Light Weight)-1.5kg,Painting,"Stucco, Putty & Filler","KEY FEATURES:
• As a repair and dent filler for automobiles, and filling of wooden surfaces.
• Since it has good rheological properties, filled surface can be leveled uniformly.
• For smoothening the surface dry and wet sanding is recommended.",,
18,"Gi-Block Mesh 6"" X 45Mtr",Building Materials,Nets & Mesh,"KEY FEATURES:
• Adds strength to bricks and prevents cracking. 
• It can also be used to strengthen window and wall openings.. Only the brick reinforcement function.
• Consumable metal mesh is produced from a single sheet of paper, so nothing can be loose. This is why it is ideal for modeling and model making.",,
20,Asmaco Pu Foam Gold 750ml,Building Materials,PU Foam,"KEY FEATURES:
• Efficient seal against smoke and gas, Can be painted after curing.
• Quick drying, moisture curing. Closed cell structure, resistant to water absorption.
• Thermal insulation characteristics. Suitable for sealing high volume low moment gaps. CFC free.",,
41,Venner Lipping With Glue Mahogany-22mmX50Mtr,Hardware,Veneer Lipping,"KEY FEATURES:
• Highest grade veneer quality pre-glued, maple wood veneer edging for repair or enhancing cabinetry, furniture, DIY projects, shelving, crafts and more.
• Finely sanded to perfection, this plywood edge banding provides a perfect finish to your projects.
• Glue with top-quality, German hot melt adhesive, our veneer lipping is super easy to apply with a household iron.
• The extra strong hot melt glue is evenly distributed on the veneer lipping for a strong, permanent bond.",,
90,National PU Wood Thinner Normal T1 (200Ltr) A58300000200L,Painting,Solvents & Thinners,"KEY FEATURES:
• Two Packs, Colour Retentive Glossy Polyurethane Topcoat, with Excellent Water Resistance Salt & Corrosion Resistance.
• The Dry Film is Having Excellent Adhesion To Various Surfaces, Excellent Flexibility & Impact Resistance.
• U.V.
• Resistance is Superior, The Product is Recommended for Interior & Exterior Applications, Even in Marine Conditions..",,
91,National PU Wood Thinner Normal T1 (18Ltr) A5830000020L,Painting,Solvents & Thinners,"KEY FEATURES:
• Two Packs, Colour Retentive Glossy Polyurethane Topcoat, with Excellent Water Resistance Salt & Corrosion Resistance.
• The Dry Film is Having Excellent Adhesion To Various Surfaces, Excellent Flexibility & Impact Resistance.
• U.V.
• Resistance is Superior, The Product is Recommended for Interior & Exterior Applications, Even in Marine Conditions..",,
92,National Epoxy Thinner-18Ltr,Painting,Solvents & Thinners,"KEY FEATURES:
• Thinner for Epoxy based Protective coatings. 
• It gives good flow and improves brush ability. 
• Suitable for cleaning brushes, rollers, tools etc.",,
93,National Lacquer Thinner-0.9Ltr,Painting,Solvents & Thinners,"KEY FEATURES:
• A medium for dilution at the time of application is available for alkyd coatings, P.U coatings, epoxy coatings, NC Paints etc for all type of generic coatings.
• Thinners are used for the ease of application of the paint.
• Should be taken in using the right thinner for each type of paint.",,
94,National Lacquer Thinner-3.6Ltr,Painting,Solvents & Thinners,"KEY FEATURES:
• A medium for dilution at the time of application is available for alkyd coatings, P.U coatings, epoxy coatings, NC Paints etc for all type of generic coatings. 
• Thinners are used for the ease of application of the paint. 
• Should be taken in using the right thinner for each type of paint.",,
97,Jotun Paint Thinner 5Ltr No.2,Painting,Solvents & Thinners,"KEY FEATURES:
• Jotun Paint Thinner No. 2 is a solvent used to thin alkyd and oil based products.
• Also used as cleaner for pumps & tools before & after painting.
• Keep in a dry, cool, well ventilated space and away from sources of heat and ignition.",,
98,National NC Thinner E (18Ltr) A5860000020L,Painting,Solvents & Thinners,"N.C Thinner is Nitro cellulose thinner. It is a mixture of esters, glycol, alcohol, aromatic solvents and ketones suitable diluents to all nitro products. It is manufactured for reducing
lacquers before they are applied by different methods. Mainly used for solvent based nitro product. The thinner is best suited to all paint and coating that are nitro-based. It has been blended in exact proportion to reduce the lacquers before they are used on the intended surface.",,
99,National NC Thinner E (200Ltr) A58600000200L,Painting,Solvents & Thinners,"N.C Thinner is Nitro cellulose thinner. It is a mixture of esters, glycol, alcohol, aromatic solvents and ketones suitable diluents to all nitro products. It is manufactured for reducing
lacquers before they are applied by different methods. Mainly used for solvent based nitro product. The thinner is best suited to all paint and coating that are nitro-based. It has been blended in exact proportion to reduce the lacquers before they are used on the intended surface.",,
100,National PU Wood Thinner Slow Dry (0.9Ltr) A585000001L,Painting,Solvents & Thinners,"Paint thinners are solvents that can dissolve paint and reduce viscosity of paint or “thin” it for use in sprayer applicators or when simply needing a thinner mixture to work with. Because they dissolve paint they aid in removal of paint on brushes, rollers and general cleanup of spills or splatters.",,
103,Geepas Angle Valve-GSW61113,Plumbing Sanitary,Bathroom Accessories,"KEY FEATURES:
• This Geepas radiator valve is a very high-quality stylish valve designed to give a designer look to your designer radiator.
• The valves are made by the Chrome plated solid brass which is polished with chrome using a to give the perfect shining finish and maximum rust protection which is highly durable. 
• This attention to the finishing detail of the valve just adds to the quality finish that will make your bathroom stand out.",,
104,"RAK Angle Valve-CP-1/2""-33003",Plumbing Sanitary,Bathroom Accessories,"KEY FEATURES:
• Beautiful chrome plated product with perfect finishing. 
• High quality authentic valve.
• Ceramic disc fitting and ABS handle.
• Brass angle valve 1/4 turn, Head part 1/2"" and Connector set 1/2"" .",,
105,"Milano Square Angle Valve-1/2""-140800300063",Plumbing Sanitary,Bathroom Accessories,"KEY FEATURES:
• Made up of high-quality material that allows long term use.
• Features a thread type valve that offers secure closure.
• Sports a shiny polished finish that gives a rich look.",,
107,"RAK Ceramics Angle Valve-1/2""-13013",Plumbing Sanitary,Bathroom Accessories,"KEY FEATURES:
• Beautiful chrome plated product with perfect finishing.
• High quality authentic valve.
• Ceramic disc fitting and ABS handle.",,
108,Geepas Angle Valve - GSW61132,Plumbing Sanitary,Bathroom Accessories,"KEY FEATURES:
• Non-ferrous angle valve with a solid knob.
• Features a quality solid metal construction.
• Equipped with durable and high-quality ¼ turn ceramic brass cartridge.
• Suitable water feature: hot and cold water suitable.",,
109,Geepas Angle Valve - GSW61134,Plumbing Sanitary,Bathroom Accessories,"KEY FEATURES:
• Stylized, slim-line, and avant-garde forms imbue the space with a touch of distinction and class. 
• Designed for convenience, the Geepas angle valve offers you a solid knob for smooth and easy operation. It is built for performance, style, and efficiency with premium-quality non-ferrous materials. 
• With its durable, strong construction and corrosion and abrasion-resistant materials, it will last a lifetime. 
• The angle valve can be used for geysers, showers, kitchen faucets, and other sanitary ware.",,
110,RAK Kludi Polaris Single Lever Sink Mixer  - RAK10050,Plumbing Sanitary,Sanitary,"KEY FEATURES:
• Ceramic cartridge with hot water safety device 35 mm.
• Flexible high pressure supply tubes 1/2 inch.
• Rapid installation set.",,
116,Geepas Bathroom Accessories 1x8 - GSW61704,Plumbing Sanitary,Bathroom Accessories,"KEY FEATURES:
• Geepas Essentials Seamless style guaranteed 7-In-1 Master Bathroom Accessories Set.
• Coating makes cleaning easy and provide high shine for lifetime.
• It includes a towel ring, towel rail robe hook and toilet paper holder.",,
160,Makita Jigsaw Blade B-12 A-85640,Tools,Sawing Acc.,"KEY FEATURES: 
• Made from high-quality material for durability. 
• It has symmetrical tip geometry with centring tip for best results when forced. 
• Designed for fast finishing with fewer, very sharp teeth. 
• Perfect for fast cutting of wood and plastic.",,
161,Kingdo Commercial Plywood 18mmx122x244cm,Wood,Commercial Plywood,"KEY FEATURES:
• Commercial plywood mainly for furniture inside base panel, like sofa/wardrobe/cabinet inside.It's moisture resistant and durable.
• Plywood is a material manufactured from thin layers or ""plies"" of wood veneer that are glued together with adjacent layers.
• The most common type of commercial plywood is used in a multitude of general-purpose applications, reaching from furniture manufacturing, interior decoration, container floors, packing materials.",,
162,JR 18mm Marine Plywood Plex-Premium,Wood,Marine Plywood,"KEY FEATURES:
• Marine Plywood (IS 710), technically known as Marine Grade Plywood, is a premium grade of plywood that is highly water-resistant and Boiling Water Proof. 
• They can sustain 500+ hours in boiling water and can be used for manufacturing patio furniture, outdoor furniture, and even in the manufacture of boats and ships.
• In most instances though, an external rated ply is a suitable alternative for applications requiring general moisture resistance.",,
163,JR 18mm Marine Plywood-Film Face,Wood,Marine Plywood,"KEY FEATURES:
• To make partition walls.
• To make furniture, especially cupboards, kitchen cabinets and office tables.
• To make light doors and shutter.",,
164,6mm Bendply Vertical (5.5mm) Generic,Wood,Commercial Plywood,"KEY FEATURES:
• House-hold furniture where curved shapes are required.
• Interior elements like lamp stands, ornamental and decorative woodwork, etc.
• Staircases.
• Office furniture.",,
165,6mm Bendply Horizontal (5.5mm) Generic,Wood,Commercial Plywood,"KEY FEATURES:
• House-hold furniture where curved shapes are required.
• Interior elements like lamp stands, ornamental and decorative woodwork, etc.
• Staircases.
• Office furniture.",,https://erp.jogaram.com/files/6mm Bendply Horizontal (5.5mm) Generic 1_small.jpg
166,6mm Plain MDF Thailand 4Ft X 8Ft,Wood,Plain MDF,"KEY FEATURES:
• MDF is used mainly for the furniture industry, skirting boards, architraves, packaging material, in the door industry and in everything from book covers to shoes. HDF is used mainly as the core material for laminate flooring.
• Application: MDF is a very versatile building material that can be widely used in a variety of applications, such as cabinet, wardrobe, desk, door, wall panel, flooring, as well as other decorations.
• Following is MDF common uses: Doors, Jambs & Millwork Edge Shaping & Machining Embossing Laminate Flooring Laminating & Finishing Trim Moulding Office & Residential Furniture Prefinished Paneling Store Fixtures Kitchen Cabinets",,
167,6mm FR MDF Thailand 4Ft x 8Ft,Wood,FR MDF,"KEY FEATURES:
• It has the exact machining and chemical qualities as typical MDF.
• Easy to work.
• Fire-rated MDF sheets are environmentally friendly. The boards engineered from wood fibres mixed with waxes and resins and hot pressured to get the right thickness. These wood fibres obtained from recycled wood, sawdust, and forest thinnings; therefore, no tree is lost.",,
168,9mm FR MDF Thailand 4Ft x 8Ft,Wood,FR MDF,"KEY FEATURES
:
1. It has the exact machining and chemical qualities as typical MDF.
2. Easy to work.
3. Fire-rated MDF sheets are environmentally friendly. The boards engineered from wood fibre mixed with waxes and resins and hot pressured to get the right thickness. These wood fibres obtained from recycled wood, sawdust, and forest thinning ; therefore, no tree is lost.",,
169,6Mm-Commercial Plywood-China,Wood,Commercial Plywood,"KEY FEATURE:
• Plywood is a material manufactured from thin layers or ""plies"" of wood veneer that are glued together with adjacent layers.
• The most common type of commercial plywood is used in a multitude of general-purpose applications, reaching from furniture manufacturing, interior decoration, container floors, packing materials.
• Commercial plywood mainly for furniture inside base panel, like sofa/wardrobe/cabinet inside. It's moisture resistant and durable.",,
170,6mm-Commercial Plywood-India,Wood,Commercial Plywood,"KEY FEATURE:
• Plywood is a material manufactured from thin layers or ""plies"" of wood veneer that are glued together with adjacent layers. 
• The most common type of commercial plywood is used in a multitude of general-purpose applications, reaching from furniture manufacturing, interior decoration, container floors, packing materials. 
• Commercial plywood mainly for furniture inside base panel, like sofa/wardrobe/cabinet inside. It's moisture resistant and durable.",,
171,15mm Commercial Plywood Indonesia 4Ft x 8Ft,Wood,Commercial Plywood,"Commercial plywood mainly for furniture inside base panel, like sofa/wardrobe/cabinet inside. It's moisture resistant and durable.",,
172,12mm Commercial Plywood Indonesia 4Ft x 8Ft,Wood,Commercial Plywood,"Commercial plywood mainly for furniture inside base panel, like sofa/wardrobe/cabinet inside.It's moisture resistant and durable.",,
173,9mm Commercial Plywood Indonesia 4Ft x 8Ft,Wood,Commercial Plywood,"Commercial plywood mainly for furniture inside base panel, like sofa/wardrobe/cabinet inside.It's moisture resistant and durable",,
174,6mm Commercial Plywood Indonesia 4Ft x 8Ft,Wood,Commercial Plywood,"Commercial plywood mainly for furniture inside base panel, like sofa/wardrobe/cabinet inside. It's moisture resistant and durable.",,
175,JR 18mm Commercial Plywood  India 4Ft x 8Ft,Wood,Commercial Plywood,"KEY FEATURES:
Commercial plywood mainly for furniture inside base panel, like sofa/wardrobe/cabinet inside.
It's moisture resistant and durable
From Indonesia we are importing Grade A plywood panels on with hardwood and softwood mixed panels.
Uses of Commercial Plywood as Building Material: To make partition walls To make furniture, especially cupboards, kitchen cabinets and office tables.
To make light doors and shutter",,
176,JR 6mm Commercial Plywood  India 4Ft x 8Ft,Wood,Commercial Plywood,"Commercial plywood mainly for furniture inside base panel, like sofa/wardrobe/cabinet inside.It's moisture resistant and durable.",,
177,JR 12mm Commercial Plywood  India 4Ft x 8Ft,Wood,Commercial Plywood,"KEY FEATURES:
Commercial plywood mainly for furniture inside base panel, like sofa/wardrobe/cabinet inside.
It's moisture resistant and durable.
The most common type of commercial plywood is used in a multitude of general-purpose applications, reaching from furniture manufacturing, interior decoration, container floors, packing materials.
The core of the materials is dependent on the sourcing country and the local timber species available.",,
178,9mm Plain MDF Thailand 4Ft x 8Ft,Wood,Plain MDF,"KEY FEATURES:
MDF is a very versatile building material that can be widely used in a variety of applications, such as cabinet, wardrobe, desk, door, wall panel, flooring, as well as other decorations. Following is MDF common uses:
Doors, Jambs & Millwork
Edge Shaping & Machining
Embossing
Laminate Flooring
Laminating & Finishing
Trim Moulding
Office & Residential Furniture
Prefinished Paneling
Store Fixtures
Kitchen Cabinets",,
179,12mm Plain MDF Thailand 4Ft x 8Ft,Wood,Plain MDF,"KEY FEATURES
:
MDF is used mainly for the furniture industry, skirting boards, architraves, packaging material, in the door industry and in everything from book covers to shoes.
 HDF is used mainly as the core material for laminate flooring.
 Application: MDF is a very versatile building material that can be widely used in a variety of applications, such as cabinet, wardrobe, desk, door, wall panel, flooring, as well as other decorations. 
Following is MDF common uses: Doors, Jambs & Millwork Edge Shaping & Machining Embossing Laminate Flooring Laminating & Finishing Trim Moulding Office & Residential Furniture Prefinished Paneling Store Fixtures Kitchen Cabinets",,
180,15mm Plain MDF Thailand 4Ft x 8Ft,Wood,Plain MDF,"MDF is used mainly for the furniture industry, skirting boards, architraves, packaging material, in the door industry and in everything from book covers to shoes. HDF is used mainly as the core material for laminate flooring. 
Application: MDF is a very versatile building material that can be widely used in a variety of applications, such as cabinet, wardrobe, desk, door, wall panel, flooring, as well as other decorations.
 Following is MDF common uses: Doors, Jambs & Millwork Edge Shaping & Machining Embossing Laminate Flooring Laminating & Finishing Trim Moulding Office & Residential Furniture Prefinished Paneling Store Fixtures Kitchen Cabinets",,